FIPS,State,County,Cases by county population,% fatality of cases,deaths by county,% of total cases,% of total deaths,% of total cases/Pop,% of total deaths/Pop,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Adults with Obesity,% Physically Inactive,% Excessive Drinking,% Uninsured,% Vaccinated,% Completed High School,% Some College,% Unemployed,% Children in Poverty,% Children in Single-Parent Households,Social Association Rate,% Severe Housing Problems,% Drive Alone to Work,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,% Food Insecure,% Limited Access to Healthy Foods,% Insufficient Sleep,Median Household Income,% Enrolled in Free or Reduced Lunch,% Homeowners,Population,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,hospitals_in_cost_reports,all_icu,60plus_pct,per_gop,People per square KM,NY Times cases,NY Times deaths
1001,Alabama,Autauga,12.42,1.56,0.193309349,0.021308189,0.018611031,0.038139557,0.03331191,20,4.5,4.9,20,33,31,14,10,42,89,60,2.7,16,25,12.2,14,86,13,16,13,16,12,38,58233,47,73,55869,23.2,16,19.9,0.5,1.2,3,73.8,1,51.5,42,1,6,0.191,0.714368023,35.85341899,6938,108
1003,Alabama,Baldwin,9.49,1.46,0.138419775,0.06508242,0.053248228,0.029154349,0.023853099,16,3.6,4.8,19,30,25,19,13,46,91,67,2.7,14,22,10.5,13,84,12,15,10,13,5,36,59871,40,75,223234,21.3,21,8.6,0.8,1.1,4.7,83.2,1,51.5,42.3,3,51,0.263,0.761713728,50.54150356,21191,309
1005,Alabama,Barbour,9.39,2.42,0.226849226,0.007116038,0.009650164,0.02882621,0.039091648,30,5.6,5.6,26,41,28,12,14,39,73,36,3.8,41,51,7.6,14,82,18,19,18,22,11,41,35972,61,61,24686,20.6,19.7,47.8,0.7,0.5,4.5,45.5,2,47.1,67.8,1,5,0.235,0.534512265,11.24798121,2317,56
1007,Alabama,Bibb,11.68,2.45,0.285790837,0.008031265,0.011028759,0.035863466,0.049248724,24,4.9,5.3,23,37,33,15,11,40,79,40,3.1,26,31,8.5,9,87,15,17,14,15,3,40,47918,63,74,22394,20.3,16.7,21.1,0.5,0.2,2.8,74.4,0,46.7,68.4,1,0,0.211,0.784262637,13.973114,2615,64
1009,Alabama,Blount,11.58,2.05,0.23691765,0.020558809,0.023608438,0.035552881,0.040826683,22,5,5.4,23,33,33,16,14,40,80,56,2.7,21,22,7.8,10,88,15,17,15,14,3,39,52902,50,79,57826,22.9,18.7,1.5,0.6,0.3,9.7,86.8,2,50.8,90,1,6,0.236,0.895715528,34.51581642,6694,137
1011,Alabama,Bullock,12.16,3.34,0.405900406,0.00377147,0.007065299,0.037337586,0.069946529,31,5.5,5.4,25,47,42,12,12,29,75,32,3.6,40,74,7.9,20,81,18,18,30,21,20,45,31906,76,71,10101,20.8,16.9,69.1,0.8,0.2,8.6,21,1,45.5,51.4,1,0,0.226,0.248428355,6.41761955,1228,41
1013,Alabama,Butler,11.13,3.19,0.354792267,0.00664614,0.011890381,0.034173901,0.061139351,28,5.4,5.7,23,47,40,13,12,35,85,40,3.6,35,41,9.7,12,86,17,19,20,19,3,42,39944,71,70,19448,22,20.8,44.6,0.4,1.4,1.5,51.1,0,53.6,71.2,1,7,0.256,0.575252951,9.952770785,2164,69
1015,Alabama,Calhoun,12.78,2.18,0.278156771,0.044600392,0.054454499,0.03925918,0.047933188,24,4.9,5.7,21,40,31,14,11,40,84,59,3.5,25,30,14.3,13,84,15,18,17,17,9,38,47747,59,70,113605,21.5,18.1,21,0.5,0.9,4.1,71.7,1,52,33.7,2,24,0.235,0.688484397,73.348688,14522,316
1017,Alabama,Chambers,10.76,3.44,0.369880315,0.010988858,0.021195897,0.033045223,0.06373939,25,5,5.5,23,42,29,14,12,43,82,50,2.9,30,34,18.1,15,86,16,18,18,16,10,41,42015,70,67,33254,20.8,20.2,39.8,0.3,1.1,2.6,55.1,0,52.2,49.1,0,0,0.251,0.572690395,21.89263808,3578,123
1019,Alabama,Cherokee,7.05,2.44,0.171781951,0.005672561,0.007754596,0.0216543,0.029602215,23,4.9,5.6,24,38,30,16,13,50,82,48,2.9,23,21,8.5,12,82,16,18,16,16,0,38,45982,62,77,26196,18.9,23.5,4.1,0.7,0.4,1.7,91.7,0,50.7,85.7,1,0,0.291,0.860336558,18.0333283,1847,45
